1,全新一代 宛若新生撫紋霜 175ml,1,18,2400,"●改善肌膚彈性，淡化身體紋路，輕盈乳霜質地容易延展，專業配方結合了活性成份，可改善肌膚彈性和緊實度，同時紓緩肌膚。
●膚質：所有肌膚類型
●質地：乳霜
●使用說明： 在大腿、臀部、腹部和胸部畫圓按摩至吸收。"
2,身體調和護理油 100ml,1,18,2400,"●以冷壓淬鍊的第一道榛果油做為基底，以純植物萃取研製，配方融合了迷迭香、天竺葵和薄荷精油，讓肌膚更緊實有彈性，減少肌膚紋理的出現。
●膚質：所有肌膚類型
●質地：油
●使用說明：每週2-3次，在濕潤肌膚上使用。取出小量護理油，塗遍全身或特殊部位輕柔地按摩。"
3,無痕美體霜 150ml,2,18,1260,"●溫和無香精、懷孕第1天開始使用，含多種營養素滋潤深入肌膚底層，恢復白皙、調理並淡化紋路
●膚質：所有肌膚類型
●質地：霜
●.使用說明： 在大腿、臀部、腹部和胸部畫圓按摩至吸收。"
4,彈力潤膚油 100ml,2,18,1150,"●溫和無香精、懷孕第1天開始使用，含多種營養素滋潤深入肌膚底層，恢復白皙、調理並淡化紋路
●所有肌膚類型
●質地：油
●使用說明： 在大腿、臀部、腹部和胸部畫圓按摩至吸收。"
5,強效mamma美體撫紋霜 300ml,7,18,1980,"●溫和荷荷芭油成分，滋潤保濕再升級，助於淡化細紋，搭配按摩效果更佳。
●富含獨特50倍吸水性小分子蠶絲蛋白，成分親膚保濕效果更升級
●豐富胺基酸成分，提供肌膚所需營養，自然散發健康光澤感
●維生素E維護肌膚表層防禦力，舒緩孕期乾燥肌膚不適感"
6,水洗襯衫式牛仔孕哺連身裙,4,19,1680,"●彈性水洗棉丹寧布，舒適透氣，穿著合身不緊繃
●寬鬆的版型剪裁，修飾下半身形，遮住臀部
●半門襟開扣，兩側哺乳開口，隱密、好餵
●材質：82%Cotton 16%Polyester 1%Spandex 1%Rayon
●哺乳開口：門襟式-兩側腋下哺乳開口
●洗滌方式：機洗/低溫/入袋/反面/不可浸泡/不可漂白/不可烘乾"
7,背心+寬褲孕哺兩件式套裝,4,19,1680,"●無束縛寬版兩件式套裝，垂墜面料，修飾身形
●上窄下寬的剪裁設計，俐落又有型
●雙側口袋、雙掀側哺乳開口，隱密版型，方便哺乳
●材質：63%Polyester 32%Rayon 5%Spandex
●哺乳開口：側開式-胸線哺乳開口
●洗滌方式：機洗/低溫/入袋/反面/不可浸泡/不可漂白/不可烘乾"
8,天堂的顏色 純白一字領五分袖孕婦洋裝 M,5,19,1680,"●五分袖孕婦洋裝，輕薄貼身
●春夏秋天皆合宜。產後也能穿
●建議身型尺寸：
S號： 身高 155~165cm，體重 45~55kg，適合胸圍 80~90cm
M號： 身高 165~170cm，體重 55~65kg，適合胸圍 84~94cm
L號： 身高 170~175cm，體重 65~75kg，適合胸圍 90~102cm"
9,野餐好日子 綠底白點孕婦連身褲 S,5,19,1380,"●草綠白點孕婦吊帶連身寬褲，後有拉鍊穿脫，雙口袋。
●本款尺寸需考量胸圍：70cm內穿S號，85cm內穿L號
●材質：100% 聚酯纖維
●洗滌說明：．初次先以清水手洗，若有輕微染劑釋出為正常現象，請安心穿著。
避免變形，建議手洗或放入洗衣網以低速短程洗滌。
請勿使用漂白劑或深淺衣物一起洗滌，以免染色。
請勿浸泡與烘乾，以免衣物縮水"
10,Audrey 一字領宴會純白孕婦連衣裙洋裝 S,5,19,2180,"●喇叭袖、背領鬆緊帶。適合季節：春、夏、秋。
●材質：100% 聚酯纖維
●洗滌說明：初次先以清水手洗，若有輕微染劑釋出為正常現象，請安心穿著。
避免變形，建議手洗或放入洗衣網以低速短程洗滌。
請勿使用漂白劑或深淺衣物一起洗滌，以免染色。
請勿浸泡與烘乾，以免衣物縮水"
11,俏皮女生 黃色棉麻可調肩帶孕婦連身吊帶短褲 M,5,19,780,"●棉麻孕婦吊帶短褲，吊帶為手調綁帶，胸前排扣，雙口袋。
●適合產前產後孕婦連衣裙洋裝。
●材質：50% 棉；50% 亞麻
●洗滌說明：初次先以清水手洗，若有輕微染劑釋出為正常現象，請安心穿著。 
避免變形，建議手洗或放入洗衣網以低速短程洗滌。 
請勿使用漂白劑或深淺衣物一起洗滌，以免染色。 
請勿浸泡與烘乾，以免衣物縮水"
12,俏皮女生 綠色棉麻可調肩帶孕婦連身吊帶短褲,5,19,780,"●棉麻孕婦吊帶短褲，吊帶為手調綁帶，胸前排扣，雙口袋。
●適合產前產後孕婦連衣裙洋裝。
●材質：50% 棉；50% 亞麻
●洗滌說明：初次先以清水手洗，若有輕微染劑釋出為正常現象，請安心穿著。
避免變形，建議手洗或放入洗衣網以低速短程洗滌。
請勿使用漂白劑或深淺衣物一起洗滌，以免染色。
請勿浸泡與烘乾，以免衣物縮水"
13,PCTO™ EBP 舒芙蕾多功能雙邊電動擠乳器組,6,20,11520,"●36種吸力模式：最受期待的新一代客製化電動擠奶器
●超級輕：重量只有230克 (約一顆蘋果重)
●非常小：大小只有10公分 (約手掌大)
●三用：可以單邊、雙邊、手動三用
●四充：提供USB、電腦、家用電、行動電源4種充電方式"
14,莫蘭迪純色後背媽媽包 燕麥奶,3,20,3880,"●寬敞立體梯形大開口，掀蓋後自動向下固定，取物方便一目瞭然。 
●舒適減壓背帶，內外多夾層設計，方便分類放置育兒物品
●防水隔層，輕鬆隔開放置濕衣或髒物。 
●行李箱固定帶設計，可固定套在行李箱拉桿上，不怕滑落。 
●材質：100%綠色環保聚酯纖維(recycled Polyester)
●尺寸：27x15x46cm
●重量：840g"
15,戶外走走機能後背媽媽包 珊瑚粉,3,20,3580,"●兼​具戶外休閒與媽媽包多機能包款，束口大開口，隔層分明，方便分類放置育兒物品。
●外層防水材質，透氣網袋與反光設計，。
●舒適減壓背帶、透氣襯墊設計。
●材質：100%綠色環保聚酯纖維(recycled Polyester)
●尺寸：28x16x42cm
●重量：850g"
16,時尚完美大開口後背媽媽包 玫瑰金,3,20,3780,"●超大容量硬挺大開口，取物方便一目瞭然。
●雙肩後背帶可隱藏，背帶有減壓設計，可手提，側背及後背三種不同背法
●防潑水抗污，具抗菌及防水功能，可放置易髒物品，易清理。
●材質：100%綠色環保聚酯纖維(recycled Polyester)
●尺寸：30x17x36cm
●重量：1240g"
17,恐龍佩佩豬月亮枕 喬治綠,4,20,3780,"●可做為寶寶授乳枕/月亮枕/孕婦舒壓枕
●親水透氣性泡棉,減少異味產生；具抗菌、低敏特性
●商品通過多項檢測，品質保障，大人寶寶使用均安心
●兩端四段式調整釦設計，方便調整鬆緊、固定
●尺寸：內邊長100cm；枕圍64cm (±2cm)"
18,傳承珍愛 經典初生套裝 0-3月,8,21,1428,"套裝禮盒共有四套六件同系列產品 
●沐浴套裝：連帽浴巾及手套：質地柔軟、能為寶寶體貼地擦乾身體的連帽浴巾及可以避免媽媽的指甲抓傷寶寶。 
●2件裝和尚袍內衣：以輕巧柔軟的天然彩棉製成，底部的鈕釦設計方便父母為寶寶替換尿布，款式適合四季穿著。 
●小兔兔連體衣：口袋中有著造型可愛的柔軟小兔玩具，小兔耳朵更以真絲制造，珍愛永存。 
●小兔抓抓樂：迷你舒適的棉絨小毛毯，一面繡上可愛的小兔圖案，而另一面則是入睡中的小兔圖案。"
19,抱抱熊 連身衣＋口水肩套裝 0-3月,8,21,448,"內容有一件抱抱熊繡花連體衣及2件裝的同系列口水肩： 
●抱抱熊圖案的繡花連體衣：質地柔軟，開胸型的設計方便寶寶穿著，更易於襯托寶寶不同的活潑可愛造型。 
●抱抱熊兩件裝口水肩：最適合為食寶寶使用，吃得亂七八糟也不怕，甚至可以用作咬咬巾，舒緩寶寶出牙前的不適感。"
20,嬰幼兒抗UV連身式泳裝 冰淇淋,3,21,1280,"●全新超強三層導流結構，使用透氣快乾布料製作。
●抗UV紫外線防曬系數UPF50+，外層防水，內層吸濕透氣不回滲。
●防漏超強性，不須再穿著尿布
●材質：82%聚醯胺纖維(Polyamide)18%彈性纖維(Elasthan)"
21,嬰幼兒抗UV長袖泳裝上衣 仙人掌,3,21,980,"●全新超強三層導流結構，使用透氣快乾布料製作。 
●抗UV紫外線防曬系數UPF50+，外層防水，內層吸濕透氣不回滲。 
●防漏超強性，不須再穿著尿布 
●材質：82%聚醯胺纖維(Polyamide)18%彈性纖維(Elasthan)"
22,嬰幼兒抗UV短袖連身式泳裝 小福虎,3,21,1680,"●全新採用綠色環保再生聚酯纖維製造，100%安全無毒材質。 
●抗UV紫外線防曬系數UPF50+，可保護寶寶不受紫外線傷害。 
●布料透氣快乾，以確保寶寶肌膚舒適。 
●同時彈性絕佳，讓寶寶超好活動。 
●使用YKK高品質拉鍊，並有拉鍊頭保護套設計。 
●前開式長拉鍊，免套頭好穿脫。"
23,小獅王辛巴 新生兒奶瓶超人氣體驗組,10,22,1559,"●蘊蜜鉑金PPSU防脹氣奶瓶獨家首創一瓶八用創新紀錄！ 
●換蓋即一瓶多用，市售配件最齊全，可依階段餵養，儲乳、餵乳、學飲。"
24,PCTO™ 金色奇蹟PPSU多功能方圓型寬口奶瓶 330ml 雙瓶組,6,22,1880,"●寶寶不易混淆，100%超柔軟奶嘴
●最輕鬆的喝奶角度，20度偏中心奶嘴設計
●減少寶寶腸胃脹氣，獨特的防脹氣排氣閥
●手可伸進清洗，超大寬口徑清洗更簡單
●專為收納控設計，卡扣式儲存蓋超整齊
●不含雙酚A,雙酚S,毒塑膠,甲醛"
25,小獅王辛巴 桃樂絲夜光奶嘴配帶全能組,10,22,259,"●附奶嘴防塵蓋
●安全透氣孔設計
●符合嬰兒唇齒構造
●拇指型特殊造型設計
●嚴選食品級活性矽膠
●通過SGS檢驗不含雙酚A"
26,小獅王辛巴 新生好拍嗝！桃樂絲PPSU寬口奶瓶6入組,10,22,3059,"●嚴選歐美大廠頂級PPSU原料，符合美國FDA食品級檢驗標準。 
●瓶身耐熱度高達197℃，不含雙酚A，可耐高壓蒸氣消毒達1000次以上。 
●高硬度堅韌輕盈，重複清洗超耐磨，不易劣化耐久性強。 
●瓶蓋防漏設計、易握瓶身。 
●瓶搭配母乳記憶超柔防脹氣寬口十字孔M奶嘴。"
27,小獅王辛巴 換瓶必備桃樂絲PPSU奶瓶大套組,10,22,1909,"●嚴選歐美大廠頂級PPSU原料，符合美國FDA食品級檢驗標準。 
●瓶身耐熱度高達197℃，不含雙酚A，可耐高壓蒸氣消毒達1000次以上。 
●高硬度堅韌輕盈，重複清洗超耐磨，不易劣化耐久性強。 
●瓶蓋防漏設計、易握瓶身。 
●瓶搭配母乳記憶超柔防脹氣寬口十字孔M奶嘴。 
●不含雙酚A,雙酚S,毒塑膠,甲醛"
28,La Millou 安撫禮盒(豆豆安撫兔23cm二入組),9,23,1998,"●繽紛時尚！歐洲極致手工工藝，每件商品皆充滿濃厚的時尚精緻質感。
●極致舒適，舒適透氣之外兼具保暖。柔軟材質包覆質感，讓寶貝更有安全感。
●獨特觸覺，顆粒設計的毛質布料，幫助小寶貝在極致舒適的柔軟觸感中安穩地睡眠。"
29,La Millou 豆豆安撫巾 粉紫馬卡龍,9,23,896,"●安全無虞 － 原裝進口品質保證 
●繽紛標籤 － 好奇寶寶視覺饗宴 
●立體觸感 － 透過觸覺激發潛能 
●輕柔舒適 － 極致柔軟寵愛寶貝"
30,La Millou 豆豆安撫巾 粉嫩薄荷綠,4,23,896,"●安全無虞 － 原裝進口品質保證 
●繽紛標籤 － 好奇寶寶視覺饗宴 
●立體觸感 － 透過觸覺激發潛能 
●輕柔舒適 － 極致柔軟寵愛寶貝"
31,豆豆安撫娃娃,4,23,480,"●寶寶陪睡好伙伴，搓揉抓握有安全感 
●豆豆凹凸顆粒面料，增加寶寶的觸覺發展 
●可掛在嬰兒車、嬰兒床上 
●賀生滿月送禮的好選擇 
●材質：主布：100%Polyester；填充物：100%Polyester"
32,La Millou 豆豆安撫兔加大 濃甜蜂蜜黃,9,23,1380,"●安撫玩偶－陪伴成長，安定寶貝焦慮情緒 
●豆豆設計－立體觸感激發五官潛能 
●可愛造型 - 色彩繽紛，寶貝愛不釋手 
●安全無虞－嚴選歐洲高品質棉花，抗敏、抗塵蟎 
●品質保證－歐洲製造原裝進口，通過多項歐盟認證"
33,兒童動物造型後背包 貓咪,3,24,1080,"●背帶及胸帶可調整長度，胸扣設計防止小朋友跑掉肩帶滑落。 
●寬大減壓肩帶及柔軟襯墊，小小朋友背起來也舒適好背。 
●寬大的主隔層及水壺夾層，避免水壺翻倒。 
●外層防潑水材質，耐髒耐用適合各種天氣。 
●包款輕量小巧僅140g，小小朋友背起來無負擔。"
34,兒童動物造型後背包 浣熊,3,24,1280,"●背帶及胸帶可調整長度，胸扣設計防止小朋友跑掉肩帶滑落。 
●寬大減壓肩帶及柔軟襯墊，小小朋友背起來也舒適好背。 
●寬大的主隔層及水壺夾層，避免水壺翻倒。 
●外層防潑水材質，耐髒耐用適合各種天氣。 
●包款輕量小巧僅140g，小小朋友背起來無負擔。"
35,小獅王辛巴 掰掰小黑蚊！植萃防蚊全方位大套組,10,24,1099,"•選用3M高品質背膠，不易殘膠、不傷嬌嫩衣 
•室內長達72小時有效保護，戶外長達12小時有效保護 
•精選16款人氣恐龍圖鑑，一起探索恐龍世界 
•通過國際SGS嚴格檢驗，不含化學DEET、重金屬
•經實驗證實，有效驅離埃及斑蚊、熱帶家蚊、小黑蚊...等多種蚊蟲"
36,小獅王辛巴 Classy高級訂製寬腰帶揹巾,10,24,2800,"●嚴選雙層高透3D立體網布 快速排濕排汗
●獨創下拉式肩帶設計 可快速調整肩帶束緊程度
●嚴選透氣網布，流汗狂人揹了也涼爽，柔軟親膚"
37,薄荷巧克力育兒哺乳背巾,4,24,1480,"●清爽條紋薄荷巧克力色，清爽簡單，男女皆適合 
●通過荷重測試(SGS-TW1186350)：承重50Kg 
●獲得國際髖關節協會IHDI認證，對寶寶髖關節健康有益 
●《材質》100%精梳棉／《尺寸》Free Size單一尺寸，適合各種成長階段寶寶"
38,橘子泡泡糖育兒背巾,4,24,1580,"●通過荷重測試(Intertek-TWNH00081705)：承重70Kg 
●獲得國際髖關節協會IHDI認證，對寶寶髖關節健康有益 
●此款加大背巾環(直徑69.2mm、粗11.2mm)，承重力增加更加安全
●《材質》100%精梳棉／《尺寸》Free Size單一尺寸，適合各種成長階段寶寶"
39,小獅王辛巴 巧虎成長禮盒,10,25,1580,"●升級新一代防噴吸管，溫水不噴，倒放不漏。
●嚴選美國SOLVAY PPSU頂級原料，通過國際SGS嚴格檢驗，不含雙酚A&S。
●瓶身耐高溫197 °C、耐酸鹼，輕盈耐摔。
●特殊一字吸管設計，寶寶學飲階段，一喝就會。
●搭配導管珠，吸管可隨瓶身角度調整，360°皆可吸吮。"
40,小獅王辛巴 蘿蔓晶鑽玻璃新生全配禮盒,10,25,2049,"●人性化細節設計 
●絕佳耐熱哺乳逸品 
●嚴選耐熱玻璃製成 
●容量刻度清晰可見 
●符合寶寶吸吮運動力學"
41,小獅王辛巴 桃樂絲心願PPSU奶瓶禮盒,10,25,1999,"●人性化細節設計 
●絕佳耐熱哺乳逸品 
●嚴選耐熱玻璃製成 
●容量刻度清晰可見 
●符合寶寶吸吮運動力學"
42,親膚天然有機棉寶寶新生兒禮盒 小熊玩偶,5,25,1980,"●有機棉觸感溫潤柔軟，極佳透氣，柔和舒適無刺激，非常適合新生兒的嬌嫩肌膚。 
●吸汗快干，不黏不膩，也不會產生靜電。 
●完全沒有化學藥物殘留，不會誘發過敏、氣喘或異位性皮膚炎。"
43,Zoo 純棉動物園 滿月新生兒寶寶禮盒,5,25,1680,"●有機棉觸感溫潤柔軟，極佳透氣，柔和舒適無刺激，非常適合新生兒的嬌嫩肌膚。
●吸汗快干，不黏不膩，也不會產生靜電。
●完全沒有化學藥物殘留，不會誘發過敏、氣喘或異位性皮膚炎。"
44,抱抱熊 初生嬰兒床上用品套裝 0-3月,8,25,3298,"●抱抱熊床圍揉合了輕柔的質感及高實用性，適用於多款嬰兒床
●床罩2件裝：以有機天然彩棉製成, 絲滑觸感溫柔呵護BB肌膚，讓BB做甜睡好夢。
●兩件裝口水肩：最適合為食寶寶使用，吃得亂七八糟也不怕，甚至可以作咬咬巾，舒緩寶寶出牙前的不適感。
●繡花連體衣：質地柔軟，開胸型的設計方便寶寶穿著，開放袖口及腳，配合寶寶活動及容易更換尿布。"
45,睡睡熊蠶寶寶抗菌包巾禮盒組,4,25,1380,"●操作簡單，新手爸媽更容易上手
●細緻柔軟魔鬼氈，不刮傷寶寶
●彈性佳，新生兒寶寶身高/體型不受限
●可依寶寶的大小調整緊度
●包巾/帽子組合，並有精緻禮盒包裝，送禮大方
●適合新生兒~4個月(3.17~6.35公斤)"
46,天然蠶繭T恤衫,11,39,1320,"由乾手感棉麻材料製成的斗篷式襯衫。 
寬鬆的 dolman 款式，打造不粘皮膚的輕鬆廓形。 
它的下擺呈繭狀廓形，因此它很寬鬆，但腰部不會顯得臃腫。 
袖長到肘部左右，是遮住手臂的絕佳單品。 
寬鬆的袖子和寬度，易於穿著。"
47,假疊層 T 短袖,12,39,825,"[設計] 
流行的假疊層T系列的短袖版♪ 
只需一件即可輕鬆穿著的疊層款式。 
作為更新點，袖口向後折疊，下擺有羅紋，側邊加開衩，增加了高顏值的元素。 
--- 
(推薦款式) 
尺碼偏寬鬆，建議下身穿修身褲或緊身裙。"
48,氣墊連帽衫短袖,12,39,1485,"【材質/功能】 
夏季氣墊已更新。 
除了在炎熱的天氣裡帶來令人愉悅的涼爽感外，易乾易護理功能讓護理更輕鬆。 
此外，材質美觀，質地光滑，更顯高貴典雅。 
【設計】 
寬鬆的廓形和連帽造型的設計美輪美奐，有今年獨有的多種顏色可供選擇。 
[Styling] 
建議搭配修身褲裝，打造乾淨利落的造型。"
49,油漆標誌 T恤,13,39,1287,"在 NUMERALS 單品中，最受歡迎的 T 卹採用短袖設計。 
這是一個帶有油漆設計的項目，給你一種活力感。 
與普通的T卹不同，正面和背面的面料通過側邊面料連接起來，營造出立體的廓形。 
使用柔軟的面料，您可以享受輕盈、略微緊實和緊實的質地和壓倒性的舒適感。"
50,什錦色塊 T 卹,13,39,1287,"一款設計感十足的T卹， 
廓形適中，穿著舒適。 
每種顏色都在一個地方使用了面料，大膽的切換設計是一個有影響力的單品。 
下擺、袖子、對角線、垂直 4 種色塊的組合式樣。"
51,牛仔襯衫,14,40,3630,"雖然身寬和長度較長，但這款牛仔襯衫 
在領口、門襟和鈕扣之間有著微妙的平衡。 - 使用相當輕的8盎司牛仔材料 - 石頭生物漂白工藝將顏色減少到淡藍色。"
52,365天我的風格襯衫,12,40,1155,"每天都想穿的襯衫 
【材質】 
GLOBAL WORK原創TR材質，防皺，從秋冬開始就開始使用。 
【設計】 
從後背到下擺調整了喇叭口的量，更新了A字廓形，更顯女人味 
我們有各種各樣的春天顏色，包括持久的顏色、瘋狂的圖案和隨機的條紋。"
53,格紋襯衫,15,40,2607,"POINT
[1] 使用靛藍線的原始格子圖案
[2] 球生物處理的柔軟質感
[3] 充滿復古感
[面料]
100% 棉細羅紋燈芯絨部分圖案原始格子使用靛藍紗線的襯衫。
球生物處理賦予它復古的柔軟感。
[設計]
使用獨創的石頭狀圓點鈕扣，彰顯工作細節的襯衫。
正面打開時可以看到的人字帶是休閒的設計點。
它具有百搭的廓形，可用作罩子或內層，從秋季到早春都可以長時間穿著。"
54,Airy TR 開領襯衫,16,40,957,"開領襯衫，廓形休閒。
側面增加了一個開衩，營造出簡約而獨特的設計。
【材質】
超輕量TR材質。
通過使用類似亞麻的線，它表現出像麻一樣的淡淡的結。
您可以在保持乾淨外觀的同時體驗輕盈柔軟的舒適感。
[造型]
建議搭配同材質的下裝套裝。"
55,摩爾條紋襯衫,13,40,1617,"質感順滑且有存在感的襯衫。開領襯衫，帶有商場般的條紋圖案，給人以立體感。 
通過使用具有拉絲感的商場結構，它具有不同的表情和氛圍。 
您可以享受質地略有不同的日益流行的條紋襯衫。"
56,什錦背心,13,41,2145,"時尚高級背心，只需穿上 
它 人造皮革和麂皮材質的什錦背心，非常適合秋季。 
時尚簡約的款式加一。 
我們還建議將它與由相同材料製成的褲子搭配。 
---最好的人造 
皮革絨面革什錦套裝"
57,V領彩色線條背心,15,41,1617,"[1] 具有亞麻質地的材料，皮膚感覺很好 
[2] 時尚V領背心 [3] 可以穿的單品作為設置[面料]一種柔軟的聚酯材料，具有亞麻般的質地，在皮膚上感覺良好。它很薄，所以你可以穿得很酷。【設計】深V領背心 今年流行的V領背心讓你好看。身體的寬度是堅實的，所以很容易分層。【造型】我們建議穿T卹或無袖層作為內層。同材質褲子搭配"
58,光滑/彩色馬甲背心,17,41,1947,"仿亞麻麵料，手感自然，乾爽如麻。
我們使用粗細不均勻的粗線。
它採用精細不平整的表面編織而成，給人一種干淨的印象和隨意的感覺，給人一種光滑的質感。
它是一種多功能材料，吸水快乾，不易起皺，易於打理。
◆ 設計
長度、肩寬、身寬都比較寬鬆的背心。
即使你在裡面穿寬鬆的內層，你也可以毫無問題地穿上它。
腰間繫著一根繩子，所以如果想讓它看起來利落，可以在背後系上，或者系上
腰線。衣領周圍的尺寸略微寬鬆，因此看起來不太緊。"
59,Eco Poly 針織背心,18,41,2310,"▼ 設計 
V領針織背心，人字形底邊用再生滌綸線編織 
[設計/功能] 
帶有時尚的側開口，你可以打開或關閉它來搭配你的衣服。 
它有多種鮮豔的顏色，後擺羅紋飾有色塊。 
請享受健康模式的感覺。"
60,絞花針織背心,14,41,3590,"高抗衝粗紗粗紗手工編織。 
因為每一件都是手工編織的，所以它具有獨特的質地和復古的設計。 
使用100% 羊毛粗紗。 
*因為每件商品都是手工編織的，所以尺寸和質地會有所不同。"
61,蝙蝠羅紋短款束腰夾克,19,42,4620,"這款短款束腰上衣
帶有環形拉鍊。一款女性化的短款外套，可搭配
緊湊 材質因顏色而異，黑色09是漂亮的緞面材質，成熟穩重，黑色其他10是仿皮，風格前衛。下擺可以用束帶收緊，讓您改變輪廓並穿著它。 此外，它還有一個反向拉鍊，可以從下擺側打開。它可以穿出乾淨的印象，因此可以搭配喇叭裙或闊腿褲。"
